Tanggal,Penumpang
2019-01-01,19230
2019-01-02,20281
2019-01-03,21507
2019-01-04,19718
2019-01-05,21105
2019-01-06,19116
2019-01-07,18249
2019-01-08,15719
2019-01-09,16653
2019-01-10,17967
2019-01-11,16861
2019-01-12,18069
2019-01-13,17692
2019-01-14,16586
2019-01-15,15130
2019-01-16,15744
2019-01-17,17944
2019-01-18,16285
2019-01-19,17638
2019-01-20,17640
2019-01-21,16435
2019-01-22,14906
2019-01-23,15650
2019-01-24,17175
2019-01-25,17008
2019-01-26,17743
2019-01-27,18041
2019-01-28,17201
2019-01-29,15181
2019-01-30,15649
2019-01-31,17759
2019-02-01,16464
2019-02-02,17993
2019-02-03,16300
2019-02-04,16026
2019-02-05,16644
2019-02-06,19087
2019-02-07,19076
2019-02-08,18583
2019-02-09,19749
2019-02-10,19706
2019-02-11,20073
2019-02-12,17325
2019-02-13,16684
2019-02-14,18338
2019-02-15,18022
2019-02-16,19946
2019-02-17,19053
2019-02-18,18630
2019-02-19,16235
2019-02-20,16106
2019-02-21,17725
2019-02-22,17304
2019-02-23,19399
2019-02-24,16363
2019-02-25,18548
2019-02-26,15972
2019-02-27,16595
2019-02-28,18362
2019-03-01,17164
2019-03-02,18878
2019-03-03,18019
2019-03-04,18309
2019-03-05,17338
2019-03-06,18174
2019-03-07,3082
2019-03-08,13079
2019-03-09,16254
2019-03-10,15356
2019-03-11,14736
2019-03-12,14199
2019-03-13,14003
2019-03-14,15671
2019-03-15,16087
2019-03-16,17552
2019-03-17,17869
2019-03-18,17637
2019-03-19,15936
2019-03-20,15793
2019-03-21,16330
2019-03-22,20626
2019-03-23,18728
2019-03-24,18342
2019-03-25,18363
2019-03-26,17078
2019-03-27,16461
2019-03-28,17671
2019-03-29,17130
2019-03-30,18717
2019-03-31,19456
2019-04-01,17550
2019-04-02,15233
2019-04-03,14798
2019-04-04,14709
2019-04-05,16340
2019-04-06,17332
2019-04-07,19067
2019-04-08,17223
2019-04-09,14964
2019-04-10,15484
2019-04-11,15771
2019-04-12,17266
2019-04-13,18196
2019-04-14,18420
2019-04-15,18158
2019-04-16,16644
2019-04-17,17030
2019-04-18,18326
2019-04-19,18342
2019-04-20,18695
2019-04-21,20444
2019-04-22,20570
2019-04-23,18277
2019-04-24,18659
2019-04-25,19556
2019-04-26,20977
2019-04-27,19873
2019-04-28,21066
2019-04-29,20768
2019-04-30,18845
2019-05-01,19171
2019-05-02,20283
2019-05-03,20052
2019-05-04,20482
2019-05-05,20771
2019-05-06,20566
2019-05-07,17129
2019-05-08,16521
2019-05-09,17522
2019-05-10,17597
2019-05-11,18206
2019-05-12,18058
2019-05-13,18050
2019-05-14,16200
2019-05-15,16186
2019-05-16,17432
2019-05-17,17854
2019-05-18,18423
2019-05-19,18590
2019-05-20,19503
2019-05-21,17449
2019-05-22,17660
2019-05-23,18448
2019-05-24,18698
2019-05-25,18986
2019-05-26,19831
2019-05-27,19229
2019-05-28,17824
2019-05-29,18202
2019-05-30,18978
2019-05-31,19812
2019-06-01,18586
2019-06-02,19045
